Numero;Caso;Mes;Resolucion;Comunicación;Categoria;Subcategoria;Segmento;Equipo_Resolutor;Canal;Movimiento;Monto;Cliente;Productos_act;Sexo
275;38812591;Noviembre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Eminent;3;F
276;38618499;Septiembre;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;Comisiones y Morosidad;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Negocios;4;F
277;38303593;Agosto;Favorable al cliente;Sin Envío;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;Cuentas;ONB;Com.serv.cta.tot;$ 103,92;Prefer;2;F
278;38644746;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CAD;CAD;SERVICIO CUENTA TOTAL;$ 4.132,23;Masivo;0;F
279;38794242;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Empleados BGBA;Comisiones y Morosidad;CCC;SERVICIO CUENTA SIMPLE;$ 2.892,56;Eminent;1;F
280;38753750;Junio;Favorable al cliente;Sin Envío;TC/TD Reclamos;Desconocimiento;Renta Media Baja;Comisiones y Morosidad;CAD;SERVICIO CUENTA PREFER;$ 6.198,35;Eminent;3;F
281;38452288;Octubre;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Media Alta;Cuentas;CCC;IMPUESTO DE SELLOS;$ 4.473,02;Prefer;4;M
282;38795909;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;Comisiones y Morosidad;SUC;COMISION POR REPOSICIO;$ 1.157,00;Prefer;2;M
283;38280365;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Baja;CCC;CCC;COM.SERV.PREFER (800031042345);$ 1.912,76;Prefer;0;F
284;38479255;Mayo;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SAN FERNANDO;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;1;F
285;38265742;Octubre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;3;F
286;38867372;Diciembre;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;Comisiones y Morosidad;SUC;COMISION RENO.ANUAL;$ 11.267,00;Masivo;4;M
287;38846930;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Comisiones y Morosidad;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Eminent;2;M
288;38249786;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Baja;AVENIDA 44;SUC;SERVICIO CUENTA CLASSI;$ 2.479,34;Eminent;0;F
289;38223965;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CCC;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;1;M
290;38904628;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Comisiones y Morosidad;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;3;F
291;38153888;Abril;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Alta;Cuentas;SUC;COMISION RENO.ANUAL;$ 10.201,33;Masivo;4;M
292;38752137;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;CASA MATRIZ TORRE;SUC;GASTOS DE SERVICIO EMI;$ 8.264,46;Eminent;2;M
293;38199624;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Baja;Tucuman Tribunales;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;0;M
294;38165670;Mayo;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CCC;SERVICIO CUENTA TOTAL;$ 3.305,79;Eminent;1;F
295;38717019;Marzo;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CCC;COM.SERV.EMINENT (800077101514);$ 8.264,46;Eminent;3;F
296;38310176;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Media;CAD;CAD;GASTOS DE SERVICIO EMINENT;$ 4.090,81;Prefer;4;F
297;38432146;Julio;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Baja;CAD;CAD;COM.SERV.CTA.TOT (800046468262);$ 3.062,73;Prefer;2;M
298;38805892;Marzo;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CASA MATRIZ TORRE;SUC;COM.SERV.EMINENT (800026960498);$ 8.264,46;Masivo;0;M
299;38299974;Enero;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Media Alta;Cuentas;CCC;COMISION RENO.ANUAL;$ 5.636,33;Masivo;1;F
300;38766845;Diciembre;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;SERVICIO CUENTA PREFER;$ 2.396,69;Masivo;3;F
301;38212720;Noviembre;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;Cuentas;CCC;GASTOS DE SERVICIO EMINENT;$ 8.181,82;Eminent;4;M
302;38154449;Septiembre;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;TUCUMAN;SUC;GASTOS DE SERVICIO EMI;$ 3.223,05;Negocios;2;M
303;38602827;Agosto;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CASA MATRIZ TORRE;SUC;GASTOS DE SERVICIO EMI;$ 4.090,81;Prefer;0;M
304;38308299;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;Cuentas;SUC;COM RENOV ANUAL  1/3;$ 14.281,66;Masivo;1;M
305;38695586;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;Comisiones y Morosidad;SUC;SERVICIO CUENTA CLASSIC;$ 4.958,68;Eminent;3;F
306;38909738;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CAMPANA;SUC;SERVICIO CUENTA CLASSI;$ 4.958,68;Negocios;4;F
307;38549801;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CIPOLLETTI;SUC;COM.SERV.EMINENT (800063599124);$ 10.330,58;Prefer;2;F
308;38557533;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Alta;Comisiones y Morosidad;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;0;F
309;38677113;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES;?;ONB;Com.serv.classic;$ 3.259,42;Eminent;1;F
310;38584666;Mayo;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Baja;CCC;CCC;COM.SERV.CLASSIC (800084757454);$ 1.049,59;Eminent;3;F
311;38474151;Octubre;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;OberÃ¡;SUC;SERVICIO CUENTA TOTAL;$ 3.305,79;Prefer;4;F
312;38284073;Diciembre;Favorable al cliente;Manual;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;Cuentas;CAD;COM. MANT. CC/CCE (Enero 2023);$ 2.066,12;Prefer;2;M
313;38561649;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;?;SUC;SERVICIO CUENTA SIMPLE;$ 2.892,56;Prefer;0;M
314;38420639;Abril;Desfavorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;Cuentas;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;1;F
315;38648128;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;Distrito Galicia;SUC;SERVICIO CUENTA CLASSI;$ 4.958,68;Prefer;3;F
316;38373303;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES GOLD;Cuentas;SUC;COMISION RENO.ANUAL(12;$ 14.282,00;Masivo;4;F
317;38233585;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;2;M
318;38828081;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;MENDOZA;SUC;COM.SERV.PREFER (800072265845);$ 6.144,03;Eminent;0;M
319;38825720;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CARREFOUR LA PLATA;SUC;SERVICIO CUENTA TOTAL;$ 4.132,23;Prefer;1;F
320;38344570;Mayo;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;Cuentas;SUC;GASTOS DE SERVICIO EMI;$ 8.181,82;Masivo;3;M
321;38462955;Marzo;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;GRAL. ROCA;SUC;COM.SERV.PREFER (800045642331);$ 4.545,45;Masivo;4;F
322;38212452;Febrero;Desfavorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Media Media;Cuentas;CCC;GASTOS DE SERVICIO EMINENT;$ 8.181,82;Eminent;2;M
323;38811642;Julio;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;ZARATE;SUC;COM.SERV.EMINENT (800069272623);$ 473,11;Eminent;0;M
324;38528955;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;BELGRANO SUD;SUC;GASTOS DE SERVICIO EMI;$ 3.223,05;Eminent;1;M
325;38752427;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Alta;MUNRO;SUC;COM.SERV.EMINENT (800027375475);$ 8.264,46;Eminent;3;F
326;38649616;Diciembre;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Comisiones y Morosidad;SUC;COMISION RENO.ANUAL;$ 2.561,66;Prefer;4;F
327;38228443;Noviembre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CCC;SERVICIO CUENTA TOTAL;$ 3.305,79;Prefer;2;F
328;38756942;Septiembre;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Alta;Distrito Galicia;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;0;M
329;38899082;Agosto;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;SERVICIO CUENTA CLASSI;$ 4.958,68;Masivo;1;M
330;38903508;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;C DEL URUGUAY;SUC;GASTOS DE SERVICIO EMI;$ 8.264,46;Masivo;3;F
331;38554393;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES GOLD;Comisiones y Morosidad;SUC;COM RENOV ANUAL  2/3;$ 7.988,66;Eminent;4;F
332;38699966;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Comisiones y Morosidad;SUC;GASTOS DE SERVICIO EMINENT;$ 10.330,58;Negocios;2;M
333;38833619;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CORRIENTES;SUC;COM.SERV.EMINENT (800054867871);$ 10.330,58;Prefer;0;M
334;38886182;Febrero;Favorable al cliente;Manual;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;Comisiones y Morosidad;CAD;COM.SERV.PREFER (800014676137);$ 2.214,88;Masivo;1;M
335;38748188;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CONECTA;Conecta;SERVICIO CUENTA PREFER;$ 6.198,35;Eminent;3;M
336;38289494;Mayo;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;RIO GRANDE;SUC;GASTOS DE SERVICIO EMI;$ 8.181,82;Negocios;4;F
337;38203274;Octubre;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Media;Honduras;SUC;GASTOS DE SERVICIO EMINENT;$ 8.181,82;Prefer;2;F
338;38289519;Diciembre;Favorable al cliente;Manual;Cuentas Reclamos;Desconocimiento;Renta Baja;Cuentas;SUC;COM.SERV.CTA.TOT (800080324561);$ 3.305,79;Masivo;0;F
339;38460131;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Media Alta;Cuentas;SUC;GASTOS DE SERVICIO EMI;$ 8.181,82;Eminent;1;F
340;38728051;Abril;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;PACHECO;SUC;COM.SERV.EMINENT (800025782170);$ 6.608,01;Eminent;3;F
341;38867209;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Comisiones y Morosidad;SUC;COMISION RENO.ANUAL(12;$ 15.812,68;Prefer;4;F
342;38802920;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;Comisiones y Morosidad;SUC;COMISION RENO.ANUAL;$ 14.282,00;Prefer;2;F
343;38918601;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;CASA MATRIZ TORRE;SUC;GASTOS DE SERVICIO EMI;$ 8.264,46;Prefer;0;M
344;38525292;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;1;M
345;38404652;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CAD;CAD;GASTOS DE SERVICIO EMINENT;$ 8.181,82;Prefer;3;F
346;38908219;Mayo;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Alta;CONCORDIA;SUC;GASTOS DE SERVICIO EMI;$ 10.330,58;Masivo;4;F
347;38501386;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;NEUQUEN;SUC;SERVICIO CUENTA PREFER;$ 3.057,85;Eminent;2;F
348;38823097;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CAD;CAD;SERVICIO CUENTA CLASSIC;$ 4.958,68;Eminent;0;M
349;38664106;Julio;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;MERLO;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;1;M
350;38243656;Marzo;Desfavorable al cliente;Sin Envío;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;Cuentas;CCC;INTERESES FINANCIACION;$ 23.516,72;Masivo;3;F
351;38715345;Enero;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Media Alta;Comisiones y Morosidad;SUC;GASTOS DE SERVICIO EMINENT;$ 8.264,46;Masivo;4;M
352;38721154;Diciembre;Desfavorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Comisiones y Morosidad;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Eminent;2;F
353;38293628;Noviembre;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;Cuentas;CCC;GASTOS DE SERVICIO EMINENT;$ 6.446,28;Eminent;0;M
354;38158674;Septiembre;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Media;CAD;CAD;COM.SERV.PREFER;$ 2.182,27;Eminent;1;M
355;38577249;Agosto;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;BERNAL;SUC;COM.SERV.EMINENT (800031213190);$ 3.350,61;Eminent;3;M
356;38671251;Abril;Favorable al cliente;Manual;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;Comisiones y Morosidad;ONB;Com.serv.eminent;$ 8.264,46;Prefer;4;F
357;38317474;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Media Media;Cuentas;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Prefer;2;F
358;38898275;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;?;SUC;GASTOS DE SERVICIO EMI;$ 10.330,58;Masivo;0;F
359;38603103;Octubre;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CCC;SERVICIO CUENTA TOTAL;$ 4.132,23;Masivo;1;M
360;38782083;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;Comisiones y Morosidad;CSEDB;COM RENOV ANUAL  1/3;$ 1.074,33;Masivo;3;M
361;38564259;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;COM.SERV.PREFER (800053670055);$ 2.272,73;Eminent;4;F
362;38552706;Mayo;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;CASA MATRIZ;SUC;COM.SERV.PREFER (800060625329);$ 6.198,35;Negocios;2;F
363;38286150;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CASEROS;SUC;COM.SERV.PREFER (800031586108);$ 4.545,45;Prefer;0;M
364;38600758;Diciembre;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;Comisiones y Morosidad;CAD;GASTOS DE SERVICIO EMINENT;$ 4.132,11;Masivo;1;M
365;38439973;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;Cuentas;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;3;M
366;38652298;Abril;Favorable al cliente;Sin Envío;Cuentas Reclamos;Desconocimiento;Renta Media Media;Comisiones y Morosidad;CAD;CARGO REPOSICION (4517699021733255);$ 330,58;Negocios;4;M
367;38818270;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Alta;CORRIENTES;SUC;COM.SERV.PREFER (800066691706);$ 6.197,17;Prefer;2;F
368;38279755;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Media;CCC;CCC;COM.SERV.PREFER (800084348031);$ 4.545,45;Masivo;0;F
369;38820867;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;GASTOS DE SERVICIO EMINENT;$ 8.264,46;Eminent;1;F
370;38691804;Febrero;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Baja;Comisiones y Morosidad;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Eminent;3;F
371;38365482;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;TORTUGAS MALL;SUC;COM.SERV.PREFER;$ 4.545,45;Prefer;4;F
372;38601787;Mayo;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;?;ONB;Com.serv.prefer;$ 6.198,35;Prefer;2;F
373;38750264;Marzo;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;Comisiones y Morosidad;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;0;F
374;38412549;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;COM.SERV.PREFER (800034916966);$ 2.311,90;Masivo;1;M
375;38832214;Julio;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CCC;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;3;M
376;38607792;Marzo;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;El talar;SUC;COM.SERV.PREFER (800072034525);$ 6.198,29;Masivo;4;F
377;38632316;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;MARTINEZ;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;2;F
378;38777764;Diciembre;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Eminent;0;F
379;38671042;Noviembre;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Alta;CAD;CAD;COM.SERV.EMINENT (800013128411);$ 10.330,58;Prefer;1;M
380;38163089;Septiembre;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Media;PARQUE LEZAMA;SUC;COM.SERV.PREFER;$ 1.568,15;Masivo;3;M
381;38718581;Agosto;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;OUT LEAN;CSEDB;COM.SERV.PREFER (800013177366);$ 2.259,73;Masivo;4;F
382;38523898;Abril;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CCC;COM.SERV.PREFER (800076747909);$ 1.525,87;Eminent;2;M
383;38420144;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Desconocimiento;Renta Media Media;Cuentas;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;0;F
384;38845799;Junio;Favorable al cliente;Manual;TC/TD Reclamos;Comisiones e intereses;Renta Alta;Comisiones y Morosidad;SUC;GASTOS DE SERVICIO EMI;$ 10.330,58;Eminent;1;M
385;38815607;Octubre;Favorable al cliente;Manual;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;Comisiones y Morosidad;SUC;INTERESES FINANCIACION;$ 521,34;Eminent;3;M
386;38827420;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Media;BARRIO NORTE;SUC;COM.SERV.CTA.NEG (800072736708);$ 4.545,45;Prefer;4;M
387;38167406;Enero;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;ROSARIO;SUC;COM.SERV.EMINENT;$ 3.516,73;Prefer;2;F
388;38409712;Mayo;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;COM.SERV.PREFER (800011162493);$ 4.545,45;Masivo;0;F
389;38269147;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CCC;COM.SERV.CLASSIC;$ 1.859,40;Masivo;1;F
390;38861939;Diciembre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;?;SUC;COM.SERV.CLASSIC (800009986281);$ 4.958,68;Masivo;3;M
391;38510248;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;EST.MARTINEZ;SUC;SERVICIO CUENTA CLASSI;$ 3.719,01;Eminent;4;M
392;38804898;Abril;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Pyme;CASA MATRIZ TORRE;SUC;GASTOS DE SERVICIO EMI;$ 10.330,58;Negocios;2;F
393;38357360;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;Asesoria Impositiva;CSEDB;GASTOS DE SERVICIO EMI;$ 4.090,81;Prefer;0;F
394;38485388;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;Tucuman Tribunales;SUC;COM.SERV.PREFER (800013456818);$ 4.545,45;Masivo;1;M
395;38928638;Abril;Desfavorable al cliente;Manual;Cuentas Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES GOLD;Comisiones y Morosidad;ONB;Com.serv.prefer;$ 6.198,35;Eminent;3;M
396;38749815;Febrero;Favorable al cliente;Manual;Cuentas Reclamos;Desconocimiento;Renta Media Baja;Comisiones y Morosidad;CCC;COM.SERV.PREFER (800032026076);$ 4.545,45;Negocios;4;M
397;38823102;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Baja;CAD;CAD;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;2;M
398;38697241;Mayo;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CASA MATRIZ TORRE;SUC;COM.SERV.EMINENT (800030627870);$ 8.264,46;Masivo;0;F
399;38485443;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CATEDRAL;SUC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;1;F
400;38440347;Febrero;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;LEANDRO N. ALEM;SUC;COM.SERV.PREFER (800075802701);$ 4.545,45;Eminent;3;F
401;38229399;Julio;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;CCC;SERVICIO CUENTA PREFER;$ 2.272,93;Prefer;4;F
402;38859012;Marzo;Favorable al cliente;Automática;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CAD;CAD;SERVICIO CUENTA SIMPLE;$ 2.892,56;Prefer;2;F
403;38535266;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Alta;Comisiones y Morosidad;SUC;GASTOS DE SERVICIO EMI;$ 3.223,05;Prefer;0;F
404;38279637;Diciembre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;CCC;CCC;COM.SERV.PREFER (800073379186);$ 662,29;Masivo;1;F
405;38920700;Noviembre;Favorable al cliente;Automática;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;JUJUY;SUC;COM. MANT. CC/CCE (Junio 2023);$ 2.892,56;Prefer;3;M
406;38785148;Septiembre;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;PARERA;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Masivo;4;M
407;38233108;Agosto;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;2;F
408;38926460;Abril;Favorable al cliente;Manual;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;Comisiones y Morosidad;ONB;Com.serv.cta.neg;$ 6.198,35;Eminent;0;F
409;38154522;Junio;Favorable al cliente;Automática;Cuentas Reclamos;Desconocimiento;Renta Media Baja;CCC;CCC;COM.SERV.PREFER;$ 4.545,45;Prefer;1;F
410;38180326;Junio;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Alta;ALMAGRO SUD;SUC;GASTOS DE SERVICIO EMINENT;$ 8.181,82;Masivo;3;M
411;38543963;Octubre;Favorable al cliente;Automática;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;ALMAGRO SUD;SUC;COM.SERV.CTA.NEG (800058082267);$ 4.132,31;Masivo;4;M
412;38390893;Febrero;Favorable al cliente;Automática;TC/TD Reclamos;Desconocimiento;Renta Media Media;Cuentas;SUC;SERVICIO CUENTA TOTAL;$ 3.305,79;Eminent;2;F
413;38576358;Enero;Favorable al cliente;Automática;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;FLORES;SUC;SERVICIO CUENTA CLASSIC;$ 4.958,68;Eminent;0;M
