Caso;Mes;Comunicacion;Resolucion;Categoria;Subcategoria;Segmento;Canal;Movimiento;Monto;Cliente;ProductosActivos;Sexo;AgeAntiguedad;Beneficio
516;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COM BANELCO;$ 3.057,85;Negocios;4;F;16;1600
517;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CARGO REPOSICION;$ 8.181,82;Prefer;2;F;17;1700
518;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;COM MANT CCE;$ 4.545,45;Masivo;0;M;18;1800
519;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CAD;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;1;M;19;1900
520;Diciembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;CSEDB;SERVICIO EMINENT;$ 510,67;Eminent;3;M;20;2000
521;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 6.446,28;Prefer;4;M;1;100
522;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;CARGOGESTCOBRANZA;$ 4.958,68;Prefer;2;F;2;200
523;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;COM BANELCO;$ 4.545,45;Prefer;0;F;3;300
524;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Alta;CCC;CARGO REPOSICION;$ 4.545,45;Masivo;1;F;4;400
525;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;COM MANT CCE;$ 804,87;Prefer;3;F;5;500
526;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;SERVICIO CUENTA PREFER;$ 4.090,81;Masivo;4;F;6;600
527;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;SERVICIO EMINENT;$ 10.330,58;Eminent;2;F;7;700
528;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Baja;CCC;COMISION MANT DE CUENTA;$ 4.347,43;Eminent;0;F;8;800
529;Marzo;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CSEDB;CARGOGESTCOBRANZA;$ 14.281,66;Prefer;1;M;9;900
530;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COM BANELCO;$ 6.198,35;Masivo;3;M;10;1000
531;Julio;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Alta;CCC;CARGO REPOSICION;$ 6.446,28;Masivo;4;F;11;1100
532;Marzo;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;ONB;COM MANT CCE;$ 4.132,23;Eminent;2;F;12;1200
533;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;SERVICIO CUENTA PREFER;$ 4.090,81;Eminent;0;F;13;1300
534;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;SERVICIO EMINENT;$ 2.272,73;Eminent;1;M;14;1400
535;Noviembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;SUC;COMISION MANT DE CUENTA;$ 3.305,79;Eminent;3;M;15;1500
536;Septiembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CARGOGESTCOBRANZA;$ 2.479,34;Prefer;4;F;16;1600
537;Agosto;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;COM BANELCO;$ 206,61;Prefer;2;M;17;1700
538;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;CARGO REPOSICION;$ 15.812,68;Masivo;0;F;18;1800
539;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;COM MANT CCE;$ 716,53;Masivo;1;M;19;1900
540;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 3.223,05;Masivo;3;M;20;2000
541;Octubre;Manual;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Alta;CAD;SERVICIO EMINENT;$ 8.264,46;Eminent;4;M;1;100
542;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 2.561,66;Negocios;2;F;2;200
543;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;CARGOGESTCOBRANZA;$ 3.719,01;Prefer;0;F;3;300
544;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Baja;SUC;COM BANELCO;$ 1.239,72;Masivo;1;F;4;400
545;Octubre;Manual;Desfavorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CARGO REPOSICION;$ 1.478,80;Eminent;3;M;5;500
546;Diciembre;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CAD;COM MANT CCE;$ 5.647,33;Negocios;4;M;6;600
547;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES GOLD;SUC;SERVICIO CUENTA PREFER;$ 7.988,66;Prefer;2;F;7;700
548;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CCC;SERVICIO EMINENT;$ 8.264,46;Masivo;0;F;8;800
549;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;COMISION MANT DE CUENTA;$ 11.209,00;Eminent;1;M;9;900
550;Junio;Manual;Desfavorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CCC;CARGOGESTCOBRANZA;$ 7.989,00;Eminent;3;M;10;1000
551;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Conecta;COM BANELCO;$ 6.198,35;Prefer;4;M;11;1100
552;Febrero;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;CARGO REPOSICION;$ 3.305,79;Prefer;2;M;12;1200
553;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COM MANT CCE;$ 6.198,35;Prefer;0;F;13;1300
554;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;SUC;SERVICIO CUENTA PREFER;$ 3.719,01;Masivo;1;F;14;1400
555;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;SERVICIO EMINENT;$ 8.181,82;Prefer;3;F;15;1500
556;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COMISION MANT DE CUENTA;$ 4.545,45;Masivo;4;F;16;1600
557;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES;SUC;CARGOGESTCOBRANZA;$ 8.181,82;Eminent;2;F;17;1700
558;Marzo;Manual;Desfavorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CAD;COM BANELCO;$ 6.198,35;Eminent;0;F;18;1800
559;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CARGO REPOSICION;$ 2.231,40;Prefer;1;F;19;1900
560;Diciembre;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Alta;CAD;COM MANT CCE;$ 6.198,35;Masivo;3;M;20;2000
561;Noviembre;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CAD;SERVICIO CUENTA PREFER;$ 337,53;Masivo;4;M;1;100
562;Septiembre;Manual;Desfavorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;SERVICIO EMINENT;$ 4.545,45;Eminent;2;F;2;200
563;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;COMISION MANT DE CUENTA;$ 3.719,01;Eminent;0;F;3;300
564;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;CARGOGESTCOBRANZA;$ 6.446,28;Eminent;1;F;4;400
565;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;COM BANELCO;$ 8.181,82;Eminent;3;M;5;500
566;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CARGO REPOSICION;$ 2.272,73;Prefer;4;M;6;600
567;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;SUC;COM MANT CCE;$ 10.155,47;Prefer;2;F;7;700
568;Febrero;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES GOLD;CCC;SERVICIO CUENTA PREFER;$ 6.446,28;Masivo;0;M;8;800
569;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Baja;CCC;SERVICIO EMINENT;$ 2.479,34;Masivo;1;F;9;900
570;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Masivo;3;M;10;1000
571;Octubre;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;CCC;CARGOGESTCOBRANZA;$ 4.545,45;Eminent;4;M;11;1100
572;Diciembre;Manual;Desfavorable al cliente;Cuentas Reclamos;Comisiones e intereses;PYME Micro;CCC;COM BANELCO;$ 671,44;Negocios;2;M;12;1200
573;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;SUC;CARGO REPOSICION;$ 4.545,45;Prefer;0;F;13;1300
574;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;SUC;COM MANT CCE;$ 10.330,58;Masivo;1;F;14;1400
575;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 3.223,17;Eminent;3;F;15;1500
576;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;SUC;SERVICIO EMINENT;$ 2.479,34;Negocios;4;M;16;1600
577;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CAD;COMISION MANT DE CUENTA;$ 3.305,79;Prefer;2;M;17;1700
578;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;CARGOGESTCOBRANZA;$ 4.090,81;Masivo;0;F;18;1800
579;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COM BANELCO;$ 3.719,01;Eminent;1;F;19;1900
580;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CCC;CARGO REPOSICION;$ 4.545,45;Eminent;3;M;20;2000
581;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COM MANT CCE;$ 5.165,16;Prefer;4;M;1;100
582;Febrero;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;CCC;SERVICIO CUENTA PREFER;$ 550,86;Prefer;2;M;2;200
583;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;CCC;SERVICIO EMINENT;$ 4.545,45;Prefer;0;M;3;300
584;Marzo;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COMISION MANT DE CUENTA;$ 2.418,88;Masivo;1;F;4;400
585;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;CARGOGESTCOBRANZA;$ 4.545,45;Prefer;3;F;5;500
586;Diciembre;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;CCC;COM BANELCO;$ 1.652,95;Masivo;4;F;6;600
587;Noviembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;SUC;CARGO REPOSICION;$ 4.545,45;Eminent;2;F;7;700
588;Septiembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;COM MANT CCE;$ 10.330,58;Eminent;0;F;8;800
589;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;1;F;9;900
590;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;SERVICIO EMINENT;$ 1.239,67;Masivo;3;F;10;1000
591;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 5.165,16;Masivo;4;M;11;1100
592;Junio;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;ONB;CARGOGESTCOBRANZA;$ 4.214,86;Eminent;2;M;12;1200
593;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COM BANELCO;$ 4.132,23;Eminent;0;F;13;1300
594;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;CARGO REPOSICION;$ 6.198,35;Eminent;1;F;14;1400
595;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;SUC;COM MANT CCE;$ 1.018,91;Eminent;3;F;15;1500
596;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;4;M;16;1600
597;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;SERVICIO EMINENT;$ 4.958,68;Prefer;2;M;17;1700
598;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 6.198,35;Masivo;0;F;18;1800
599;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;SUC;CARGOGESTCOBRANZA;$ 5.454,55;Masivo;1;M;19;1900
600;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES;SUC;COM BANELCO;$ 7.989,00;Masivo;3;F;20;2000
601;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;PERSONAS ANSES;CAD;CARGO REPOSICION;$ 991,74;Eminent;4;M;1;100
602;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;COM MANT CCE;$ 6.198,35;Negocios;2;M;2;200
603;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES GOLD;CAD;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;0;M;3;300
604;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;SERVICIO EMINENT;$ 10.330,58;Masivo;1;F;4;400
605;Enero;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CAD;COMISION MANT DE CUENTA;$ 6.198,35;Eminent;3;F;5;500
606;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;CARGOGESTCOBRANZA;$ 4.958,68;Negocios;4;F;6;600
607;Marzo;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Alta;SUC;COM BANELCO;$ 8.527,60;Prefer;2;M;7;700
608;Febrero;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES GOLD;ONB;CARGO REPOSICION;$ 6.446,28;Masivo;0;M;8;800
609;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;COM MANT CCE;$ 8.181,82;Eminent;1;F;9;900
610;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CCC;SERVICIO CUENTA PREFER;$ 3.305,79;Eminent;3;F;10;1000
611;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;SERVICIO EMINENT;$ 6.198,35;Prefer;4;M;11;1100
612;Diciembre;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Baja;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Prefer;2;M;12;1200
613;Noviembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Alta;CCC;CARGOGESTCOBRANZA;$ 8.264,46;Prefer;0;M;13;1300
614;Septiembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;COM BANELCO;$ 4.545,45;Masivo;1;M;14;1400
615;Agosto;Manual;Desfavorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;SUC;CARGO REPOSICION;$ 8.181,82;Prefer;3;F;15;1500
616;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CAD;COM MANT CCE;$ 4.958,68;Masivo;4;F;16;1600
617;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;SUC;SERVICIO CUENTA PREFER;$ 3.057,85;Eminent;2;F;17;1700
618;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;CCC;SERVICIO EMINENT;$ 4.545,45;Eminent;0;F;18;1800
619;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;COMISION MANT DE CUENTA;$ 10.330,58;Prefer;1;F;19;1900
620;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CCC;CARGOGESTCOBRANZA;$ 4.545,45;Masivo;3;F;20;2000
621;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;COM BANELCO;$ 8.181,82;Masivo;4;F;1;100
622;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;CARGO REPOSICION;$ 6.198,35;Eminent;2;M;2;200
623;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COM MANT CCE;$ 3.099,18;Eminent;0;M;3;300
624;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;SERVICIO CUENTA PREFER;$ 4.090,81;Eminent;1;F;4;400
625;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CSEDB;SERVICIO EMINENT;$ 0,01;Eminent;3;F;5;500
626;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;CCC;COMISION MANT DE CUENTA;$ 8.697,20;Prefer;4;F;6;600
627;Febrero;Sin Envio;Favorable al cliente;TC/TD Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES;SUC;CARGOGESTCOBRANZA;$ 11.267,00;Prefer;2;M;7;700
628;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;COM BANELCO;$ 4,22;Masivo;0;M;8;800
629;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES GOLD;SUC;CARGO REPOSICION;$ 8.264,46;Masivo;1;F;9;900
630;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CCC;COM MANT CCE;$ 719,01;Masivo;3;M;10;1000
631;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;SUC;SERVICIO CUENTA PREFER;$ 4.958,68;Eminent;4;F;11;1100
632;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;SERVICIO EMINENT;$ 1.140,95;Negocios;2;M;12;1200
633;Marzo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Alta;SUC;COMISION MANT DE CUENTA;$ 3.305,79;Prefer;0;M;13;1300
634;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CARGOGESTCOBRANZA;$ 2.060,47;Masivo;1;M;14;1400
635;Julio;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COM BANELCO;$ 5.636,33;Eminent;3;F;15;1500
636;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;CARGO REPOSICION;$ 3.719,01;Negocios;4;F;16;1600
637;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;FAMILIA GALICIA;SUC;COM MANT CCE;$ 6.446,28;Prefer;2;F;17;1700
638;Diciembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CCC;SERVICIO CUENTA PREFER;$ 4.545,45;Masivo;0;M;18;1800
639;Noviembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;SERVICIO EMINENT;$ 4.545,45;Eminent;1;M;19;1900
640;Septiembre;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;CCC;COMISION MANT DE CUENTA;$ 3.072,43;Eminent;3;F;20;2000
641;Agosto;Manual;Favorable al cliente;Cuentas Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES;SUC;CARGOGESTCOBRANZA;$ 67,67;Prefer;4;F;1;100
642;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COM BANELCO;$ 4.545,45;Prefer;2;M;2;200
643;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;CCC;CARGO REPOSICION;$ 5.165,16;Prefer;0;M;3;300
644;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Baja;SUC;COM MANT CCE;$ 2.561,66;Masivo;1;M;4;400
645;Octubre;Manual;Desfavorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CCC;SERVICIO CUENTA PREFER;$ 10.330,58;Prefer;3;M;5;500
646;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;SERVICIO EMINENT;$ 2.372,62;Masivo;4;F;6;600
647;Enero;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 1.945,01;Eminent;2;F;7;700
648;Mayo;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;ONB;CARGOGESTCOBRANZA;$ 4.545,45;Eminent;0;F;8;800
649;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CAD;COM BANELCO;$ 6.198,35;Prefer;1;F;9;900
650;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;CARGO REPOSICION;$ 8.264,46;Masivo;3;F;10;1000
651;Junio;Sin Envio;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CAD;COM MANT CCE;$ 198,35;Masivo;4;F;11;1100
652;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CAD;SERVICIO CUENTA PREFER;$ 2.892,56;Eminent;2;F;12;1200
653;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;SERVICIO EMINENT;$ 4.545,45;Eminent;0;M;13;1300
654;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COMISION MANT DE CUENTA;$ 2.272,73;Eminent;1;M;14;1400
655;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CARGOGESTCOBRANZA;$ 10.410,13;Eminent;3;F;15;1500
656;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Alta;CCC;COM BANELCO;$ 874,66;Prefer;4;F;16;1600
657;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;CAD;CARGO REPOSICION;$ 6.198,35;Prefer;2;F;17;1700
658;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;CAD;COM MANT CCE;$ 4.132,11;Masivo;0;M;18;1800
659;Marzo;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;SERVICIO CUENTA PREFER;$ 3.719,01;Masivo;1;M;19;1900
660;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO EMINENT;$ 6.198,35;Masivo;3;F;20;2000
661;Julio;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;COMISION MANT DE CUENTA;$ 7.988,66;Eminent;4;M;1;100
662;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;CARGOGESTCOBRANZA;$ 8.181,82;Negocios;2;F;2;200
663;Enero;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COM BANELCO;$ 2.479,34;Prefer;0;M;3;300
664;Diciembre;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;CAD;CARGO REPOSICION;$ 1.397,35;Masivo;1;M;4;400
665;Noviembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;COM MANT CCE;$ 3.305,79;Eminent;3;M;5;500
666;Septiembre;Manual;Desfavorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CAD;SERVICIO CUENTA PREFER;$ 485,69;Negocios;4;F;6;600
667;Agosto;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Alta;CCC;SERVICIO EMINENT;$ 719,01;Prefer;2;F;7;700
668;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Masivo;0;F;8;800
669;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CARGOGESTCOBRANZA;$ 3.719,01;Eminent;1;M;9;900
670;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;CCC;COM BANELCO;$ 2.603,34;Eminent;3;M;10;1000
