Caso;Mes;Comunicacion;Resolucion;Categoria;Subcategoria;Segmento;Canal;Movimiento;Monto;Cliente;ProductosActivos;Sexo
448;Febrero;Manual;Desfavorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;COM MANT CCE;$ 3.719,01;Masivo;0;M
449;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 0,22;Masivo;1;F
450;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;SERVICIO EMINENT;$ 8.181,82;Masivo;3;F
451;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Eminent;4;F
452;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Alta;SUC;CARGOGESTCOBRANZA;$ 2.272,73;Negocios;2;M
453;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;CAD;COM BANELCO;$ 6.198,35;Prefer;0;M
454;Marzo;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;CCC;CARGO REPOSICION;$ 4.917,42;Masivo;1;F
455;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;COM MANT CCE;$ 4.545,45;Eminent;3;F
456;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CCC;SERVICIO CUENTA PREFER;$ 8.181,82;Negocios;4;M
457;Noviembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;SUC;SERVICIO EMINENT;$ 4.132,23;Prefer;2;M
458;Septiembre;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CAD;COMISION MANT DE CUENTA;$ 8.264,46;Masivo;0;M
459;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;CARGOGESTCOBRANZA;$ 8.006,34;Eminent;1;M
460;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;COM BANELCO;$ 10.330,58;Eminent;3;F
461;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CCC;CARGO REPOSICION;$ 3.305,79;Prefer;4;F
462;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COM MANT CCE;$ 6.198,35;Prefer;2;F
463;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;0;F
464;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES GOLD;SUC;SERVICIO EMINENT;$ 8.181,82;Masivo;1;F
465;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;COMISION MANT DE CUENTA;$ 4.090,81;Prefer;3;F
466;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Alta;SUC;CARGOGESTCOBRANZA;$ 10.330,58;Masivo;4;F
467;Octubre;Manual;Desfavorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Alta;CCC;COM BANELCO;$ 6.726,57;Eminent;2;M
468;Diciembre;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;CARGO REPOSICION;$ 4.958,68;Eminent;0;M
469;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CAD;COM MANT CCE;$ 3.305,79;Prefer;1;F
470;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;CCC;SERVICIO CUENTA PREFER;$ 3.719,01;Masivo;3;F
471;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CCC;SERVICIO EMINENT;$ 3.719,01;Masivo;4;F
472;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Eminent;2;M
473;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;CSEDB;CARGOGESTCOBRANZA;$ 8.264,46;Eminent;0;M
474;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CSEDB;COM BANELCO;$ 5.165,16;Eminent;1;F
475;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;CCC;CARGO REPOSICION;$ 4.545,45;Eminent;3;M
476;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;SUC;COM MANT CCE;$ 8.264,46;Prefer;4;F
477;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 5.454,55;Prefer;2;M
478;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;SERVICIO EMINENT;$ 4.545,45;Masivo;0;M
479;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;SUC;COMISION MANT DE CUENTA;$ 4.132,11;Masivo;1;M
480;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;CARGOGESTCOBRANZA;$ 7.989,00;Masivo;3;F
481;Enero;Manual;Desfavorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COM BANELCO;$ 2.272,73;Eminent;4;F
482;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;CARGO REPOSICION;$ 6.446,28;Negocios;2;F
483;Noviembre;Manual;Desfavorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;CCC;COM MANT CCE;$ 8.181,82;Prefer;0;M
484;Septiembre;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;CAD;SERVICIO CUENTA PREFER;$ 4.958,68;Masivo;1;M
485;Agosto;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;SERVICIO EMINENT;$ 6.198,35;Eminent;3;F
486;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;COMISION MANT DE CUENTA;$ 4.545,45;Negocios;4;F
487;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;CCC;CARGOGESTCOBRANZA;$ 4.958,68;Prefer;2;M
488;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;PERSONAS ANSES;SUC;COM BANELCO;$ 2.892,56;Masivo;0;M
489;Octubre;Sin Envio;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CSEDB;CARGO REPOSICION;$ 6.446,28;Eminent;1;M
490;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CAD;COM MANT CCE;$ 4.132,11;Eminent;3;M
491;Enero;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;SERVICIO CUENTA PREFER;$ 11.208,66;Prefer;4;F
492;Mayo;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;SERVICIO EMINENT;$ 4.545,45;Prefer;2;F
493;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CSEDB;COMISION MANT DE CUENTA;$ 6.446,28;Prefer;0;F
494;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;CARGOGESTCOBRANZA;$ 6.446,28;Masivo;1;F
495;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;COM BANELCO;$ 10.330,58;Prefer;3;F
496;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;SUC;CARGO REPOSICION;$ 6.198,35;Masivo;4;F
497;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CCC;COM MANT CCE;$ 8.181,82;Eminent;2;F
498;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;CSEDB;SERVICIO CUENTA PREFER;$ 3.305,79;Eminent;0;M
499;Abril;Manual;Desfavorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;CCC;SERVICIO EMINENT;$ 4.545,45;Prefer;1;M
500;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 8.181,82;Masivo;3;F
501;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;CARGOGESTCOBRANZA;$ 6.446,28;Masivo;4;F
502;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;SUC;COM BANELCO;$ 4.090,81;Eminent;2;F
503;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;CARGO REPOSICION;$ 4.545,45;Eminent;0;M
504;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COM MANT CCE;$ 6.198,35;Eminent;1;M
505;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CCC;SERVICIO CUENTA PREFER;$ 3.305,79;Eminent;3;F
506;Marzo;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES GOLD;SUC;SERVICIO EMINENT;$ 10.201,33;Prefer;4;M
507;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;SUC;COMISION MANT DE CUENTA;$ 4.090,81;Prefer;2;F
508;Diciembre;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES GOLD;CCC;CARGOGESTCOBRANZA;$ 7.988,66;Masivo;0;M
509;Noviembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;COM BANELCO;$ 2.479,34;Masivo;1;M
510;Septiembre;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Alta;SUC;CARGO REPOSICION;$ 35.213,01;Masivo;3;M
511;Agosto;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Alta;SUC;COM MANT CCE;$ 10.330,58;Eminent;4;F
512;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Negocios;2;F
513;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Baja;CAD;SERVICIO EMINENT;$ 1.930,66;Prefer;0;F
514;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CAD;COMISION MANT DE CUENTA;$ 4.545,45;Masivo;1;M
515;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Baja;SUC;CARGOGESTCOBRANZA;$ 2.892,56;Eminent;3;M
516;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COM BANELCO;$ 3.057,85;Negocios;4;F
517;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CARGO REPOSICION;$ 8.181,82;Prefer;2;F
518;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;COM MANT CCE;$ 4.545,45;Masivo;0;M
519;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CAD;SERVICIO CUENTA PREFER;$ 4.545,45;Eminent;1;M
520;Diciembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;CSEDB;SERVICIO EMINENT;$ 510,67;Eminent;3;M
521;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 6.446,28;Prefer;4;M
522;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;CARGOGESTCOBRANZA;$ 4.958,68;Prefer;2;F
523;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;COM BANELCO;$ 4.545,45;Prefer;0;F
524;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Alta;CCC;CARGO REPOSICION;$ 4.545,45;Masivo;1;F
525;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;COM MANT CCE;$ 804,87;Prefer;3;F
526;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;SERVICIO CUENTA PREFER;$ 4.090,81;Masivo;4;F
527;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;SERVICIO EMINENT;$ 10.330,58;Eminent;2;F
528;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Baja;CCC;COMISION MANT DE CUENTA;$ 4.347,43;Eminent;0;F
529;Marzo;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CSEDB;CARGOGESTCOBRANZA;$ 14.281,66;Prefer;1;M
530;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COM BANELCO;$ 6.198,35;Masivo;3;M
531;Julio;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Alta;CCC;CARGO REPOSICION;$ 6.446,28;Masivo;4;F
532;Marzo;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;ONB;COM MANT CCE;$ 4.132,23;Eminent;2;F
533;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;SERVICIO CUENTA PREFER;$ 4.090,81;Eminent;0;F
534;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;SERVICIO EMINENT;$ 2.272,73;Eminent;1;M
535;Noviembre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;SUC;COMISION MANT DE CUENTA;$ 3.305,79;Eminent;3;M
536;Septiembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CARGOGESTCOBRANZA;$ 2.479,34;Prefer;4;F
537;Agosto;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;COM BANELCO;$ 206,61;Prefer;2;M
538;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;CARGO REPOSICION;$ 15.812,68;Masivo;0;F
539;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;COM MANT CCE;$ 716,53;Masivo;1;M
540;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 3.223,05;Masivo;3;M
541;Octubre;Manual;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Alta;CAD;SERVICIO EMINENT;$ 8.264,46;Eminent;4;M
542;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 2.561,66;Negocios;2;F
543;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;CARGOGESTCOBRANZA;$ 3.719,01;Prefer;0;F
544;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Baja;SUC;COM BANELCO;$ 1.239,72;Masivo;1;F
545;Octubre;Manual;Desfavorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CARGO REPOSICION;$ 1.478,80;Eminent;3;M
546;Diciembre;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CAD;COM MANT CCE;$ 5.647,33;Negocios;4;M
547;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES GOLD;SUC;SERVICIO CUENTA PREFER;$ 7.988,66;Prefer;2;F
548;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CCC;SERVICIO EMINENT;$ 8.264,46;Masivo;0;F
549;Febrero;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;SUC;COMISION MANT DE CUENTA;$ 11.209,00;Eminent;1;M
550;Junio;Manual;Desfavorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CCC;CARGOGESTCOBRANZA;$ 7.989,00;Eminent;3;M
551;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;Conecta;COM BANELCO;$ 6.198,35;Prefer;4;M
552;Febrero;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;CARGO REPOSICION;$ 3.305,79;Prefer;2;M
553;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COM MANT CCE;$ 6.198,35;Prefer;0;F
554;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;SUC;SERVICIO CUENTA PREFER;$ 3.719,01;Masivo;1;F
555;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;SERVICIO EMINENT;$ 8.181,82;Prefer;3;F
556;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;CCC;COMISION MANT DE CUENTA;$ 4.545,45;Masivo;4;F
557;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES;SUC;CARGOGESTCOBRANZA;$ 8.181,82;Eminent;2;F
558;Marzo;Manual;Desfavorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CAD;COM BANELCO;$ 6.198,35;Eminent;0;F
559;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;CARGO REPOSICION;$ 2.231,40;Prefer;1;F
560;Diciembre;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Alta;CAD;COM MANT CCE;$ 6.198,35;Masivo;3;M
561;Noviembre;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Alta;CAD;SERVICIO CUENTA PREFER;$ 337,53;Masivo;4;M
562;Septiembre;Manual;Desfavorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;SERVICIO EMINENT;$ 4.545,45;Eminent;2;F
563;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;CCC;COMISION MANT DE CUENTA;$ 3.719,01;Eminent;0;F
564;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES;SUC;CARGOGESTCOBRANZA;$ 6.446,28;Eminent;1;F
565;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;COM BANELCO;$ 8.181,82;Eminent;3;M
566;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;CCC;CARGO REPOSICION;$ 2.272,73;Prefer;4;M
567;Octubre;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Baja;SUC;COM MANT CCE;$ 10.155,47;Prefer;2;F
568;Febrero;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES GOLD;CCC;SERVICIO CUENTA PREFER;$ 6.446,28;Masivo;0;M
569;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Baja;CCC;SERVICIO EMINENT;$ 2.479,34;Masivo;1;F
570;Mayo;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 4.545,45;Masivo;3;M
571;Octubre;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Baja;CCC;CARGOGESTCOBRANZA;$ 4.545,45;Eminent;4;M
572;Diciembre;Manual;Desfavorable al cliente;Cuentas Reclamos;Comisiones e intereses;PYME Micro;CCC;COM BANELCO;$ 671,44;Negocios;2;M
573;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;SUC;CARGO REPOSICION;$ 4.545,45;Prefer;0;F
574;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;SUC;COM MANT CCE;$ 10.330,58;Masivo;1;F
575;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;SUC;SERVICIO CUENTA PREFER;$ 3.223,17;Eminent;3;F
576;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Baja;SUC;SERVICIO EMINENT;$ 2.479,34;Negocios;4;M
577;Abril;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CAD;COMISION MANT DE CUENTA;$ 3.305,79;Prefer;2;M
578;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Alta;SUC;CARGOGESTCOBRANZA;$ 4.090,81;Masivo;0;F
579;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COM BANELCO;$ 3.719,01;Eminent;1;F
580;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;CCC;CARGO REPOSICION;$ 4.545,45;Eminent;3;M
581;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COM MANT CCE;$ 5.165,16;Prefer;4;M
582;Febrero;Manual;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES;CCC;SERVICIO CUENTA PREFER;$ 550,86;Prefer;2;M
583;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;CCC;SERVICIO EMINENT;$ 4.545,45;Prefer;0;M
584;Marzo;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COMISION MANT DE CUENTA;$ 2.418,88;Masivo;1;F
585;Enero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;SUC;CARGOGESTCOBRANZA;$ 4.545,45;Prefer;3;F
586;Diciembre;Automatica;Favorable al cliente;Cuentas Reclamos;Desconocimiento;Renta Media Media;CCC;COM BANELCO;$ 1.652,95;Masivo;4;F
587;Noviembre;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Alta;SUC;CARGO REPOSICION;$ 4.545,45;Eminent;2;F
588;Septiembre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;COM MANT CCE;$ 10.330,58;Eminent;0;F
589;Agosto;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;1;F
590;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;CCC;SERVICIO EMINENT;$ 1.239,67;Masivo;3;F
591;Junio;Manual;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 5.165,16;Masivo;4;M
592;Junio;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;ONB;CARGOGESTCOBRANZA;$ 4.214,86;Eminent;2;M
593;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Baja;SUC;COM BANELCO;$ 4.132,23;Eminent;0;F
594;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;SUC;CARGO REPOSICION;$ 6.198,35;Eminent;1;F
595;Enero;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Media;SUC;COM MANT CCE;$ 1.018,91;Eminent;3;F
596;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;4;M
597;Octubre;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Baja;CCC;SERVICIO EMINENT;$ 4.958,68;Prefer;2;M
598;Diciembre;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Media;SUC;COMISION MANT DE CUENTA;$ 6.198,35;Masivo;0;F
599;Junio;Automatica;Favorable al cliente;TC/TD Reclamos;Desconocimiento;Renta Media Alta;SUC;CARGOGESTCOBRANZA;$ 5.454,55;Masivo;1;M
600;Abril;Manual;Favorable al cliente;TC/TD Reclamos;Desconocimiento;NEGOCIOS Y PROFESIONALES;SUC;COM BANELCO;$ 7.989,00;Masivo;3;F
601;Febrero;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;PERSONAS ANSES;CAD;CARGO REPOSICION;$ 991,74;Eminent;4;M
602;Junio;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Media;SUC;COM MANT CCE;$ 6.198,35;Negocios;2;M
603;Abril;Automatica;Favorable al cliente;Cuentas Reclamos;Morosidad no reconocida;NEGOCIOS Y PROFESIONALES GOLD;CAD;SERVICIO CUENTA PREFER;$ 6.198,35;Prefer;0;M
604;Febrero;Automatica;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Alta;SUC;SERVICIO EMINENT;$ 10.330,58;Masivo;1;F
605;Enero;Manual;Favorable al cliente;TC/TD Reclamos;Morosidad no reconocida;Renta Media Media;CAD;COMISION MANT DE CUENTA;$ 6.198,35;Eminent;3;F
606;Mayo;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Media Baja;SUC;CARGOGESTCOBRANZA;$ 4.958,68;Negocios;4;F
607;Marzo;Automatica;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;Renta Alta;SUC;COM BANELCO;$ 8.527,60;Prefer;2;M
608;Febrero;Manual;Favorable al cliente;Cuentas Reclamos;Comisiones e intereses;NEGOCIOS Y PROFESIONALES GOLD;ONB;CARGO REPOSICION;$ 6.446,28;Masivo;0;M
609;Julio;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Media Media;CCC;COM MANT CCE;$ 8.181,82;Eminent;1;F
610;Marzo;Automatica;Favorable al cliente;TC/TD Reclamos;Comisiones e intereses;Renta Baja;CCC;SERVICIO CUENTA PREFER;$ 3.305,79;Eminent;3;F
